Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads,t,is_anomaly
1772190232,62,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,31,0
1772190234,64,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,32,0
1772190236,66,245042,247960,0,494644,6593,0,88,0,1312,10,0,0,0,0,1,1,33,0
1772190238,68,245042,247960,0,494644,6593,0,88,0,1734,12,0,0,0,0,1,1,34,0
1772190240,70,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,35,0
1772190242,72,245037,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,36,0
1772190244,74,245037,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,37,0
1772190246,76,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,38,0
1772190248,78,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,39,0
1772190250,80,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,40,0
1772190252,82,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,41,0
1772190254,84,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,42,0
1772190256,86,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,43,0
1772190258,88,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,44,0
1772190260,90,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,45,0
1772190262,92,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,46,0
1772190264,94,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,47,0
1772190266,96,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,48,0
1772190268,98,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,49,0
1772190270,100,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,50,0
1772190272,102,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,51,0
1772190274,104,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,52,0
1772190276,106,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,53,0
1772190278,108,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,54,0
1772190280,110,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,55,0
1772190282,112,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,56,0
1772190284,114,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,57,0
1772190286,116,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,58,0
1772190288,118,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,59,0
1772190290,120,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,60,0
1772190292,122,245042,247960,0,494644,6593,0,88,0,1945,13,0,0,0,0,1,1,61,0
1772190294,124,245042,247960,0,494644,6593,0,88,0,2139,15,0,0,0,0,1,1,62,0
1772190296,126,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,63,0
1772190298,128,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,64,0
1772190300,130,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,65,0
1772190302,132,245037,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,66,0
1772190304,134,245037,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,67,0
1772190306,136,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,68,0
1772190308,138,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,69,0
1772190310,140,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,70,0
1772190312,142,245042,247960,0,494644,6593,0,88,0,2306,16,0,0,0,0,1,1,71,0
1772190314,144,245042,247960,0,494644,6593,0,88,0,2478,18,0,0,0,0,1,1,72,0
1772190316,146,245042,247960,0,494644,6593,0,88,0,2478,18,0,0,0,0,1,1,73,0
1772190318,148,245042,247960,0,494644,6593,0,88,0,2564,19,0,0,0,0,1,1,74,0
1772190320,150,245042,247960,0,494644,6593,0,88,0,2564,19,0,0,0,0,1,1,75,0
1772190344,0,26149,28960,0,641128,6593,0,88,0,0,0,0,0,0,0,1,1,76,1
1772190346,2,318284,321216,0,641128,6593,0,88,0,0,0,0,0,0,0,1,1,77,1
1772190348,4,318284,321216,0,641128,6593,0,88,0,86,1,0,0,0,0,1,1,78,1
1772190350,6,318284,321216,0,641128,6593,0,88,0,86,1,0,0,0,0,1,1,79,1
1772190352,8,318284,321216,0,641128,6593,0,88,0,86,1,0,0,0,0,1,1,80,1
1772190354,10,318284,321216,0,641128,6593,0,88,0,86,1,0,0,0,0,1,1,81,1
1772190356,12,318284,321216,0,641128,6593,0,88,0,297,2,0,0,0,0,1,1,82,1
1772190358,14,318284,321216,0,641128,6593,0,88,0,719,4,0,0,0,0,1,1,83,1
1772190360,16,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,84,1
1772190362,18,318279,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,85,1
1772190364,20,318279,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,86,1
1772190366,22,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,87,1
1772190368,24,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,88,1
1772190370,26,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,89,1
1772190372,28,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,90,1
1772190374,30,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,91,1
1772190376,32,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,92,1
1772190378,34,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,93,1
1772190380,36,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,94,1
1772190382,38,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,95,1
1772190384,40,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,96,1
1772190386,42,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,97,1
1772190388,44,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,98,1
1772190390,46,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,99,1
1772190392,48,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,100,1
1772190394,50,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,101,1
1772190396,52,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,102,1
1772190398,54,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,103,1
1772190400,56,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,104,1
1772190402,58,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,105,1
1772190404,60,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,106,1
1772190406,62,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,107,1
1772190408,64,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,108,1
1772190410,66,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,109,1
1772190412,68,318284,321216,0,641128,6593,0,88,0,930,5,0,0,0,0,1,1,110,1
1772190414,70,318284,321216,0,641128,6593,0,88,0,1124,7,0,0,0,0,1,1,111,1
1772190416,72,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,112,1
1772190418,74,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,113,1
1772190420,76,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,114,1
1772190422,78,318279,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,115,1
1772190424,80,318279,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,116,1
1772190426,82,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,117,1
1772190428,84,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,118,1
1772190430,86,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,119,1
1772190432,88,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,120,1
1772190434,90,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,121,1
1772190436,92,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,122,1
1772190438,94,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,123,1
1772190440,96,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,124,1
1772190442,98,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,125,1
1772190444,100,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,126,1
1772190446,102,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,127,1
1772190448,104,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,128,1
1772190450,106,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,129,1
1772190452,108,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,130,1
1772190454,110,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,131,1
1772190456,112,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,132,1
1772190458,114,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,133,1
1772190460,116,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,134,1
1772190462,118,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,135,1
1772190464,120,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,136,1
1772190466,122,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,137,1
1772190468,124,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,138,1
1772190470,126,318279,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,139,1
1772190472,128,318279,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,140,1
1772190474,130,318284,321216,0,641128,6593,0,88,0,1291,8,0,0,0,0,1,1,141,1
1772190476,132,318284,321216,0,641128,6593,0,88,0,1502,9,0,0,0,0,1,1,142,1
1772190478,134,318284,321216,0,641128,6593,0,88,0,1924,11,0,0,0,0,1,1,143,1
1772190480,136,318284,321216,0,641128,6593,0,88,0,2135,12,0,0,0,0,1,1,144,1
1772190482,138,318279,321216,0,641128,6593,0,88,0,2135,12,0,0,0,0,1,1,145,1
1772190484,140,318279,321216,0,641128,6593,0,88,0,2135,12,0,0,0,0,1,1,146,1
1772190486,142,318284,321216,0,641128,6593,0,88,0,2135,12,0,0,0,0,1,1,147,1
1772190488,144,318284,321216,0,641128,6593,0,88,0,2135,12,0,0,0,0,1,1,148,1
1772190490,146,318284,321216,0,641128,6593,0,88,0,2221,13,0,0,0,0,1,1,149,1
1772190492,148,318284,321216,0,641128,6593,0,88,0,2221,13,0,0,0,0,1,1,150,1
1772190494,150,318284,321216,0,641128,6593,0,88,0,2221,13,0,0,0,0,1,1,151,1
1772190593,0,27309,30120,0,494644,6593,0,88,0,0,0,0,0,0,0,1,1,152,0
1772190595,2,245044,247976,0,494644,6593,0,88,0,212,2,0,0,0,0,1,1,153,0
1772190597,4,245044,247976,0,494644,6593,0,88,0,634,4,0,0,0,0,1,1,154,0
1772190599,6,245044,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,155,0
1772190601,8,245039,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,156,0
1772190603,10,245039,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,157,0
1772190605,12,245044,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,158,0
1772190607,14,245044,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,159,0
1772190609,16,245044,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,160,0
1772190611,18,245044,247976,0,494644,6593,0,88,0,1056,6,0,0,0,0,1,1,161,0
1772190613,20,245044,247976,0,494644,6593,0,88,0,1228,8,0,0,0,0,1,1,162,0
1772190615,22,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,163,0
1772190617,24,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,164,0
1772190619,26,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,165,0
1772190621,28,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,166,0
1772190623,30,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,167,0
1772190625,32,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,168,0
1772190627,34,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,169,0
1772190629,36,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,170,0
1772190631,38,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,171,0
1772190633,40,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,172,0
1772190635,42,245044,247976,0,494644,6593,0,88,0,1314,9,0,0,0,0,1,1,173,0
1772190637,44,245044,247976,0,494644,6593,0,88,0,1486,11,0,0,0,0,1,1,174,0
1772190639,46,245044,247976,0,494644,6593,0,88,0,1486,11,0,0,0,0,1,1,175,0
1772190641,48,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,176,0
1772190643,50,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,177,0
1772190645,52,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,178,0
1772190647,54,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,179,0
1772190649,56,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,180,0
1772190651,58,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,181,0
1772190653,60,245044,247976,0,494644,6593,0,88,0,1572,12,0,0,0,0,1,1,182,0
1772190655,62,245044,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,183,0
1772190657,64,245044,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,184,0
1772190659,66,245044,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,185,0
1772190661,68,245039,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,186,0
1772190663,70,245039,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,187,0
1772190665,72,245044,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,188,0
1772190667,74,245044,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,189,0
1772190669,76,245044,247976,0,494644,6593,0,88,0,1933,15,0,0,0,0,1,1,190,0
1772190671,78,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,191,0
1772190673,80,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,192,0
1772190675,82,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,193,0
1772190677,84,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,194,0
1772190679,86,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,195,0
1772190681,88,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,196,0
1772190683,90,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,197,0
1772190685,92,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,198,0
1772190687,94,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,199,0
1772190689,96,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,200,0
1772190691,98,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,201,0
1772190693,100,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,202,0
1772190695,102,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,203,0
1772190697,104,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,204,0
1772190699,106,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,205,0
1772190701,108,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,206,0
1772190703,110,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,207,0
1772190705,112,245039,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,208,0
1772190707,114,245039,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,209,0
1772190709,116,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,210,0
1772190711,118,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,211,0
1772190713,120,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,212,0
1772190715,122,245044,247976,0,494644,6593,0,88,0,2019,16,0,0,0,0,1,1,213,0
1772190717,124,245044,247976,0,494644,6593,0,88,0,2441,18,0,0,0,0,1,1,214,0
1772190719,126,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,215,0
1772190721,128,245039,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,216,0
1772190723,130,245039,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,217,0
1772190725,132,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,218,0
1772190727,134,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,219,0
1772190729,136,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,220,0
1772190731,138,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,221,0
1772190733,140,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,222,0
1772190735,142,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,223,0
1772190737,144,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,224,0
1772190739,146,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,225,0
1772190741,148,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,226,0
1772190743,150,245044,247976,0,494644,6593,0,88,0,2863,20,0,0,0,0,1,1,227,0
